#T(K)	P(Pa)
333.4	5.28E+04
338.4	6.27E+04
343.4	7.40E+04
348.4	8.69E+04
353.4	1.02E+05
358.4	1.18E+05
363.4	1.37E+05
368.4	1.59E+05
373.4	1.82E+05
421.56	5.73E+05
426.56	6.33E+05
431.56	6.97E+05
436.56	7.66E+05
441.56	8.41E+05
446.56	9.20E+05
451.56	1.01E+06
456.56	1.10E+06
461.56	1.19E+06
466.56	1.30E+06
471.56	1.41E+06
476.56	1.53E+06
481.56	1.65E+06
486.56	1.78E+06
491.56	1.92E+06
496.56	2.07E+06
501.56	2.22E+06
506.56	2.39E+06
511.56	2.56E+06
516.56	2.74E+06
521.56	2.93E+06
526.56	3.13E+06
531.56	3.34E+06
536.56	3.56E+06
541.56	3.79E+06
546.56	4.03E+06
