#eThermo
#T, Psat, rhol, rhov
476.14, 8.33E+03, 3291.39, 2.18578
481.14, 9.81E+03, 3272.82, 2.55459
486.14, 1.15E+04, 3254.14, 2.97385
491.14, 1.34E+04, 3235.35, 3.44817
496.14, 1.56E+04, 3216.44, 3.98349
501.14, 1.81E+04, 3197.41, 4.58532
506.14, 2.09E+04, 3178.25, 5.25963
511.14, 2.40E+04, 3158.96, 6.01376
516.14, 2.75E+04, 3139.53, 6.85459
521.14, 3.15E+04, 3119.95, 7.78899
526.14, 3.58E+04, 3100.23, 8.82477
531.14, 4.07E+04, 3080.35, 9.9711
536.14, 4.60E+04, 3060.32, 11.2362
541.14, 5.19E+04, 3040.11, 12.6294
546.14, 5.85E+04, 3019.72, 14.161
551.14, 6.56E+04, 2999.15, 15.8408
556.14, 7.35E+04, 2978.39, 17.6807
561.14, 8.20E+04, 2957.43, 19.6922
566.14, 9.14E+04, 2936.26, 21.8881
