#T(K)	P(Pa)
369.15	1.34E+03
374.15	1.70E+03
379.15	2.14E+03
384.15	2.67E+03
389.15	3.31E+03
394.15	4.08E+03
399.15	4.99E+03
404.15	6.06E+03
409.15	7.33E+03
414.15	8.80E+03
419.15	1.05E+04
424.15	1.25E+04
429.15	1.48E+04
434.15	1.74E+04
439.15	2.04E+04
444.15	2.38E+04
449.15	2.76E+04
454.15	3.19E+04
459.15	3.68E+04
464.15	4.22E+04
469.15	4.83E+04
474.15	5.51E+04
479.15	6.26E+04
484.15	7.09E+04
489.15	8.00E+04
494.15	9.01E+04
499.15	1.01E+05
504.15	1.13E+05
509.15	1.26E+05
514.15	1.41E+05
519.15	1.56E+05
524.15	1.73E+05
529.15	1.91E+05
