#T (K)	P(Pa)
273.13,	9.07E+02
278.13,	1.24E+03
283.13,	1.67E+03
288.13,	2.22E+03
293.13,	2.92E+03
298.13,	3.80E+03
303.13,	4.90E+03
308.13,	6.25E+03
313.13,	7.90E+03
318.13,	9.87E+03
323.13,	1.23E+04
328.13,	1.51E+04
333.13,	1.85E+04
338.13,	2.25E+04
343.13,	2.71E+04
348.13,	3.26E+04
353.13,	3.88E+04
358.13,	4.60E+04
363.13,	5.42E+04
368.13,	6.35E+04
373.13,	7.41E+04
378.13,	8.61E+04
383.13,	9.95E+04
388.13,	1.14E+05
393.13,	1.31E+05
398.13,	1.50E+05
403.13,	1.70E+05
408.13,	1.93E+05
413.13,	2.18E+05
418.13,	2.45E+05
420,	2.57E+05
425,	2.87E+05
430,	3.21E+05
435,	3.57E+05
440,	3.96E+05
445,	4.38E+05
450,	4.84E+05
455,	5.34E+05
460,	5.88E+05
465,	6.45E+05
470,	7.07E+05
475,	7.73E+05
480,	8.44E+05
485,	9.19E+05
490,	1.00E+06
495,	1.09E+06
500,	1.18E+06
505,	1.27E+06
510,	1.38E+06
515,	1.49E+06
520,	1.60E+06
525,	1.72E+06
530,	1.85E+06
535,	1.99E+06
540,	2.13E+06
545,	2.28E+06
550,	2.43E+06
555,	2.60E+06
560,	2.77E+06
565,	2.95E+06
570,	3.14E+06
575,	3.34E+06
