#T(K)	P(Pa)
237.15	8.39E-04
242.15	1.95E-03
247.15	4.33E-03
252.15	9.20E-03
257.15	1.88E-02
262.15	3.68E-02
267.15	6.99E-02
272.15	1.28E-01
277.15	2.29E-01
282.15	3.98E-01
287.15	6.74E-01
292.15	1.11E+00
297.15	1.80E+00
302.15	2.85E+00
307.15	4.42E+00
312.15	6.74E+00
317.15	1.01E+01
322.15	1.49E+01
327.15	2.16E+01
332.15	3.10E+01
337.15	4.38E+01
342.15	6.10E+01
347.15	8.41E+01
352.15	1.15E+02
357.15	1.54E+02
362.15	2.06E+02
367.15	2.72E+02
372.15	3.56E+02
377.15	4.62E+02
382.15	5.95E+02
387.15	7.59E+02
392.15	9.61E+02
397.15	1.21E+03
402.15	1.51E+03
407.15	1.87E+03
412.15	2.31E+03
417.15	2.83E+03
422.15	3.45E+03
427.15	4.18E+03
432.15	5.03E+03
437.15	6.03E+03
442.15	7.20E+03
447.15	8.55E+03
452.15	1.01E+04
457.15	1.19E+04
462.15	1.39E+04
467.15	1.63E+04
472.15	1.89E+04
477.15	2.19E+04
482.15	2.53E+04
487.15	2.92E+04
492.15	3.34E+04
497.15	3.82E+04
502.15	4.35E+04
507.15	4.95E+04
512.15	5.60E+04
517.15	6.33E+04
522.15	7.13E+04
527.15	8.01E+04
532.15	8.98E+04
537.15	1.00E+05
542.15	1.12E+05
547.15	1.25E+05
552.15	1.38E+05
557.15	1.53E+05
562.15	1.70E+05
567.15	1.87E+05
572.15	2.06E+05
577.15	2.27E+05
582.15	2.49E+05
587.15	2.72E+05
592.15	2.98E+05
597.15	3.25E+05
602.15	3.54E+05
607.15	3.85E+05
612.15	4.18E+05
617.15	4.54E+05
622.15	4.91E+05
627.15	5.31E+05
632.15	5.74E+05
637.15	6.19E+05
642.15	6.66E+05
647.15	7.17E+05
652.15	7.70E+05
657.15	8.26E+05
662.15	8.86E+05
667.15	9.48E+05
672.15	1.01E+06
677.15	1.08E+06
682.15	1.15E+06
687.15	1.23E+06
692.15	1.31E+06
697.15	1.39E+06
702.15	1.48E+06
707.15	1.57E+06
712.15	1.67E+06
717.15	1.77E+06
722.15	1.87E+06
727.15	1.98E+06
