#T(K)	P(Pa)
353.15,	1.36E+03
358.15,	1.74E+03
363.15,	2.21E+03
368.15,	2.78E+03
373.15,	3.46E+03
378.15,	4.29E+03
383.15,	5.28E+03
388.15,	6.44E+03
393.15,	7.82E+03
398.15,	9.43E+03
403.15,	1.13E+04
408.15,	1.35E+04
413.15,	1.60E+04
418.15,	1.89E+04
423.15,	2.22E+04
428.15,	2.60E+04
433.15,	3.02E+04
438.15,	3.51E+04
443.15,	4.05E+04
448.15,	4.66E+04
453.15,	5.34E+04
458.15,	6.09E+04
463.15,	6.94E+04
468.15,	7.87E+04
473.15,	8.89E+04
478.15,	1.00E+05
483.15,	1.13E+05
488.15,	1.26E+05
493.15,	1.41E+05
498.15,	1.57E+05
503.15,	1.75E+05
508.15,	1.94E+05
513.15,	2.14E+05
518.15,	2.37E+05
523.15,	2.61E+05
528.15,	2.86E+05
533.15,	3.14E+05
538.15,	3.44E+05
543.15,	3.76E+05
